"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,-0.5,0,0.5,0,0,2.0365
0.1,-0.5,0,0,0,0,1.976
0.2,-0.5,0,0,0,0,1.8675
0.3,-0.5,0,0,0,0,1.7876
0.4,-0.5,0,0,0,0,1.7312
0.5,-0.5,0,0,0,0,1.6858
0.6,-0.5,0,0,0,0,1.6472
0.7,-0.5,0,0,0,0,1.615
0.8,-0.5,0,0,0,0,1.5888
0.9,-0.5,0,0,0,0,1.5672
1,-0.5,0,0,0,0,1.5486
1.1,-0.5,0,0,0,0,1.5315
1.2,-0.5,0,0,0,0,1.5151
1.3,-0.5,0,0,0,0,1.4988
1.4,-0.5,0,0,0,0,1.4824
1.5,-0.5,0,0,0,0,1.4658
1.6,-0.5,0,0,0,0,1.449
1.7,-0.5,0,0,0,0,1.432
1.8,-0.5,0,0,0,0,1.4149
1.9,-0.5,0,0,0,0,1.3978
2,-0.5,0,0,0,0,1.3806
2.1,-0.5,0,0,0,0,1.3633
2.2,-0.5,0,0,0,0,1.3461
2.3,-0.5,0,0,0,0,1.3288
2.4,-0.5,0,0,0,0,1.3116
2.5,-0.5,0,0,0,0,1.2943
2.6,-0.5,0,0,0,0,1.2771
2.7,-0.5,0,0,0,0,1.2598
2.8,-0.5,0,0,0,0,1.2425
2.9,-0.5,0,0,0,0,1.2253
3,-0.5,0,0,0,0,1.208
3.1,-0.5,0,0,0,0,1.1908
3.2,-0.5,0,0,0,0,1.1735
3.3,-0.5,0,0,0,0,1.1562
3.4,-0.5,0,0,0,0,1.139
3.5,-0.5,0,0,0,0,1.1217
3.6,-0.5,0,0,0,0,1.1045
3.7,-0.5,0,0,0,0,1.0872
3.8,-0.5,0,0,0,0,1.07
3.9,-0.5,0,0,0,0,1.0527
4,-0.5,0,0,0,0,1.0354
4.1,-0.5,0,0,0,0,1.0182
4.2,-0.5,0,0,0,0,1.0009
4.3,-0.5,0,0,0,0,0.98367
4.4,-0.5,0,0,0,0,0.96641
4.5,-0.5,0,0,0,0,0.94915
4.6,-0.5,0,0,0,0,0.93189
4.7,-0.5,0,0,0,0,0.91464
4.8,-0.5,0,0,0,0,0.89738
4.9,-0.5,0,0,0,0,0.88012
5,-0.5,0,0,0,0,0.86286
5.1,-0.5,0,0,0,0,0.8456
5.2,-0.5,0,0,0,0,0.82835
5.3,-0.5,0,0,0,0,0.81109
5.4,-0.5,0,0,0,0,0.79383
5.5,-0.5,0,0,0,0,0.77657
5.6,-0.5,0,0,0,0,0.75931
5.7,-0.5,0,0,0,0,0.74206
5.8,-0.5,0,0,0,0,0.7248
5.9,-0.5,0,0,0,0,0.70754
6,-0.5,0,0,0,0,0.69028
6.1,-0.5,0,0,0,0,0.67303
6.2,-0.5,0,0,0,0,0.65577
6.3,-0.5,0,0,0,0,0.63851
6.4,-0.5,0,0,0,0,0.62125
6.5,-0.5,0,0,0,0,0.60399
6.6,-0.5,0,0,0,0,0.58674
6.7,-0.5,0,0,0,0,0.56948
6.8,-0.5,0,0,0,0,0.55222
6.9,-0.5,0,0,0,0,0.53496
7,-0.5,0,0,0,0,0.51771
7.1,-0.5,0,0,0,0,0.50045
7.2,-0.5,0,0,0,0,0.48319
7.3,-0.5,0,0,0,0,0.46593
7.4,-0.5,0,0,0,0,0.44867
7.5,-0.5,0,0,0,0,0.43142
7.6,-0.5,0,0,0,0,0.41416
7.7,-0.5,0,0,0,0,0.3969
7.8,-0.5,0,0,0,0,0.37964
7.9,-0.5,0,0,0,0,0.36238
8,-0.5,0,0,0,0,0.34513
8.1,-0.5,0,0,0,0,0.32787
8.2,-0.5,0,0,0,0,0.31061
8.3,-0.5,0,0,0,0,0.29335
8.4,-0.5,0,0,0,0,0.2761
8.5,-0.5,0,0,0,0,0.25884
8.6,-0.5,0,0,0,0,0.24158
8.7,-0.5,0,0,0,0,0.22432
8.8,-0.5,0,0,0,0,0.20706
8.9,-0.5,0,0,0,0,0.18981
9,-0.5,0,0,0,0,0.17255
9.1,-0.5,0,0,0,0,0.15529
9.2,-0.5,0,0,0,0,0.13804
9.3,-0.5,0,0,0,0,0.12078
9.4,-0.5,0,0,0,0,0.10352
9.5,-0.5,0,0,0,0,0.086267
9.6,-0.5,0,0,0,0,0.069005
9.7,-0.5,0,0,0,0,0.051757
9.8,-0.5,0,0,0,0,0.034511
9.9,-0.5,0,0,0,0,0.017256
10,-0.5,0,0.21645,-5.3086e-05,0,0.0043145
0,-0.4,0,1,0,0,1.9779
0.1,-0.4,0,0.95491,0.063249,0,1.934
0.2,-0.4,0,0.93606,0.083993,0,1.8509
0.3,-0.4,0,0.90064,0.082251,0,1.7829
0.4,-0.4,0,0.85658,0.072764,0,1.7307
0.5,-0.4,0,0.81476,0.061101,0,1.6873
0.6,-0.4,0,0.77866,0.04807,0,1.6499
0.7,-0.4,0,0.74955,0.034453,0,1.6183
0.8,-0.4,0,0.72804,0.02236,0,1.5919
0.9,-0.4,0,0.71315,0.013335,0,1.5697
1,-0.4,0,0.70322,0.007322,0,1.5503
1.1,-0.4,0,0.69696,0.0035393,0,1.5326
1.2,-0.4,0,0.6934,0.0013152,0,1.5158
1.3,-0.4,0,0.69164,0.00017895,0,1.4992
1.4,-0.4,0,0.69092,-0.00027718,0,1.4826
1.5,-0.4,0,0.69072,-0.00038635,0,1.4659
1.6,-0.4,0,0.69076,-0.00034886,0,1.449
1.7,-0.4,0,0.69088,-0.00026687,0,1.432
